2017-02-14 10:31:47 status half-installed libaudit-common:all 1:2.4-1
2017-02-14 10:31:47 status unpacked libaudit-common:all 1:2.4-1
2017-02-14 10:31:47 status unpacked libaudit-common:all 1:2.4-1
2017-02-14 10:31:47 install libaudit1:amd64 <none> 1:2.4-1+b1
2017-02-14 10:31:47 status half-installed libaudit1:amd64 1:2.4-1+b1
2017-02-14 10:31:47 status unpacked libaudit1:amd64 1:2.4-1+b1
2017-02-14 10:31:47 status unpacked libaudit1:amd64 1:2.4-1+b1
2017-02-14 10:31:47 upgrade base-files:amd64 8+deb8u7 8+deb8u7
2017-02-14 10:31:47 status half-configured base-files:amd64 8+deb8u7
2017-02-14 10:31:47 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:47 status half-installed base-files:amd64 8+deb8u7
2017-02-14 10:31:47 status half-installed base-files:amd64 8+deb8u7
2017-02-14 10:31:47 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:47 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:47 upgrade base-passwd:amd64 3.5.37 3.5.37
2017-02-14 10:31:47 status half-configured base-passwd:amd64 3.5.37
2017-02-14 10:31:47 status unpacked base-passwd:amd64 3.5.37
2017-02-14 10:31:47 status half-installed base-passwd:amd64 3.5.37
2017-02-14 10:31:47 status half-installed base-passwd:amd64 3.5.37
2017-02-14 10:31:47 status unpacked base-passwd:amd64 3.5.37
2017-02-14 10:31:47 status unpacked base-passwd:amd64 3.5.37
2017-02-14 10:31:47 install bash:amd64 <none> 4.3-11+deb8u1
2017-02-14 10:31:47 status half-installed bash:amd64 4.3-11+deb8u1
2017-02-14 10:31:47 status unpacked bash:amd64 4.3-11+deb8u1
2017-02-14 10:31:47 status unpacked bash:amd64 4.3-11+deb8u1
2017-02-14 10:31:47 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2017-02-14 10:31:47 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2017-02-14 10:31:47 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-02-14 10:31:47 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-02-14 10:31:47 install libdebconfclient0:amd64 <none> 0.192
2017-02-14 10:31:47 status half-installed libdebconfclient0:amd64 0.192
2017-02-14 10:31:47 status unpacked libdebconfclient0:amd64 0.192
2017-02-14 10:31:47 status unpacked libdebconfclient0:amd64 0.192
2017-02-14 10:31:47 install coreutils:amd64 <none> 8.23-4
2017-02-14 10:31:47 status half-installed coreutils:amd64 8.23-4
2017-02-14 10:31:48 status unpacked coreutils:amd64 8.23-4
